tid,title,imdbRating,ratingCount,duration,year,nrOfWins,nrOfNominations,nrOfUserReviews
73012,Barbie in Rock 'N Royals,7.1,6591,6480,1974,1,1,25
1186830,Barbie Star Light Adventure,7.2,40671,7620,2009,9,12,163
58777,Barbie: A Fairy Secret,7.8,24152,8280,1964,0,0,224
66473,Barbie: Princess Charm School,7.5,20804,8640,1970,1,7,146
375154,Barbie: Spy Squad,6.9,39614,7500,2006,0,0,310
19702,Barbie: The Princess & the Popstar,7.1,5938,5100,1929,0,0,74
108358,Barbie: Video Game Hero,7.9,75804,7800,1993,0,0,423
91474,Beyblade Burst,7.2,39679,7140,1986,1,1,422
64622,Boy and the World,6.2,2149,5520,1969,0,0,80
49470,City in the Sky,http://www.imdb.com/title/tt0049470/,7.5,32447,7200,video.movie,1,170
425210,Equestria Girls: Tales of Canterlot High,7.8,215991,6600,2006,4,3,492
73802,Food: Delicious Science,7.5,27026,7020,1975,5,3,138
443543,For Your Own Good,7.6,225695,6600,2006,6,8,624
387131,Franca: Chaos and Creation,7.5,92479,7740,2005,23,45,557
73580,Frances Ha,7.7,11940,7560,1975,4,1,100
101669,Generation Iron 2,7,19121,6420,1991,1,4,103
206634,Ghost Patrol,7.9,294420,6540,2006,28,29,1154
324554,Great Yellowstone Thaw,7,37733,6840,2004,0,0,284
125659,I Am Bolt,7.8,43591,7020,1997,5,11,210
1139797,I'm in Love with a Church Girl,8,143919,6900,2008,63,23,469
29811,Ice Guardians,7.1,5332,4800,1937,0,0,76
289765,Justice in the City,7.2,164519,7440,2002,6,7,736
76788,Kahlil Gibran's The Prophet,6.8,485,5340,1977,1,0,15
42804,Miss Hokusai,8.1,10710,5100,1950,12,4,136
18742,Monster High: Great Scarrier Reef,8.3,5912,4140,1928,1,0,44
65112,Monster High: New Ghoul at School,6.3,10380,8580,1969,3,1,79
54248,My Life as a Zucchini,8.3,8889,10620,1960,9,7,38
1235166,Nature's Great Race,7.9,63032,9300,2009,32,31,139
57869,Phantom Boy,7.9,12586,5700,1964,0,0,54
60138,PJ Masks,7.9,8524,5700,1966,4,0,63
70379,Sudden,7.5,54260,6720,1973,5,2,208
247586,The Code,7.9,27621,6840,2000,22,8,120
794374,The Dream Catchers,7,1615,9480,2006,0,0,26
1605783,The Free Man,7.7,221572,5640,2011,18,52,460
55256,The Lion Woman,eins zwei drei,http://www.imdb.com/title/tt0055256/,8,11935,1961,video.movie,28
1045658,The President's Barber,7.9,354393,7320,2012,62,78,620
2334873,Tokyo Idols,7.4,74652,5880,2013,26,35,286
63462,Ver??nica,7.7,32666,5280,1967,2,5,230
63415,Welcome to Monster High: The Origin Story,7.6,24528,5940,1968,0,0,150
66765,What She Put on the Table,7.6,18523,5280,1971,0,0,77
84352,Wrong Side Raju,7.9,9838,4620,1982,0,0,22
795368,Be with Me,7.4,74812,5400,2007,2,0,190
218839,Be with You,7.5,39785,5400,2000,13,10,332
50706,Bombshell,7.9,10560,7020,1958,6,2,54
86206,Chat??: The King of Brazil,4.5,83,5700,1984,0,0,1
301357,Chewin' the Fat,7.8,91044,7260,2003,32,14,220
98635,Fall in Love with Me,7.6,118446,5760,1989,4,14,245
1621432,Harud,5.4,267,,2012,1,0,5
71129,Love Cheque Charge,8,23480,7380,1973,16,8,96
46521,Masha's Spooky Stories,8,7941,6000,1953,4,1,49
69191,Much Ado About Nothing,7.4,7030,7680,1972,4,1,46
11909,Murphy's Law of Love,8.1,999,7020,1921,0,0,18
32143,My Big Night,8.1,8218,7980,1939,1,0,131
81554,My Little Pony Equestria Girls: Legend of Everfree,7.5,12779,5340,1980,0,0,98
71487,Old Money,8,7980,6180,1974,2,0,309
88184,Pac's Scary Halloween,7.6,19517,5340,1984,7,2,90
102536,Riphagen - The Untouchable,7.8,30604,7740,1991,1,0,87
245574,Robotech,7.7,75928,6360,2001,39,30,377
23349,Someone Like You,7.6,755,4140,1932,0,0,10
40458,Umrika,8.4,3300,8040,1948,1,3,57
705262,Unchained: The Untold Story of Freestyle Motocross,8.7,835,3480,2004,0,0,2
116922,Welcome Mr. President,7.7,76443,8040,1997,0,0,433
235198,When I See You Again,7.3,44241,6900,1999,3,2,390
365376,Wakfu: The Quest for the Six Eliatrope Dofus,http://www.imdb.com/title/tt0365376/,7.3,34097,6900,video.movie,11,208
85333,A Stoning in Fulham County,6.6,38714,6600,1983,0,0,201
105665,Adam: His Song Continues,7.2,39735,8100,1992,3,6,214
161081,Hard Lessons,6.6,83684,7800,2000,4,5,669
48977,In Defense of a Married Man,7.5,7602,7740,1956,1,1,151
1077368,Quiet Victory: The Charlie Wedemeyer Story,6.3,147014,6780,2012,2,9,460
98253,Strange Voices,7.7,10273,7380,1989,1,8,81
265349,The Ryan White Story,6.5,54115,7140,2002,3,0,441
583660,Too Young the Hero,8.1,701,1320,1998,0,0,3
20439,Triumph of the Heart,7.7,496,4560,1929,0,0,4
12952,Unspeakable Acts,7.4,863,4800,1922,0,0,15
126916,Victim of Beauty,6.5,22056,8220,1999,0,0,218
55489,"All's Well, End's Well (2009)",8,1192,7080,1961,5,5,22
11841,Gabriel and the Mountain,8.1,3134,8700,1920,0,0,43
12675,Lommbock,7.4,2103,4800,1921,0,0,20
90863,Love O2O,7,46480,7140,1986,4,6,109
16884,Medal of Honor,8.1,2775,6720,1926,1,0,30
18618,Outlaw King,7.5,726,5100,1928,0,0,10
35015,Super Drags,8,14021,5280,1942,2,0,95
48673,The Queen of Flow,7.6,4793,6000,1955,3,2,64
576641,Westside,,,2820,1984,0,0,0
53946,Case,8.2,16683,7680,1960,3,7,150
63227,Greatest Events of WWII in Colour,8.2,19622,8040,1968,14,16,158
870111,Green Eggs and Ham,7.8,76863,7320,2008,16,48,234
433383,Hit & Run,http://www.imdb.com/title/tt0433383/,7.6,74242,5580,video.movie,43,107
110932,Let It Snow,7.5,45526,7980,1994,13,13,150
45943,Paradise Beach,7.4,6174,7200,1953,6,6,65
115988,Hope Springs Eternal,6.9,24089,7440,1996,7,11,113
323944,The Desert Bride,7.3,25616,5640,2003,12,18,178
26752,The Sea of Trees,7.9,13024,7920,1935,2,7,84
971336,Transfers,,,3600,2010,0,0,0
32904,Yes or No 2,8.1,42335,6720,1940,3,4,174
92263,Yes or No 2.5,7.6,13265,5700,1986,4,12,84
79116,My Way,7.6,66636,6720,1979,0,0,130
70034,U Turn,7.7,64271,6120,1973,1,0,231
108188,Damnation,7.6,10791,5640,1993,4,1,76
97202,Into the Forest,8,33042,6660,1989,2,5,215
104815,Krisha,7,41910,4860,1992,6,4,125
98360,Jerry Seinfeld: Comedian,http://www.imdb.com/title/tt0098360/,7.2,6731,6180,video.movie,3,19
83745,P. King Duckling,http://www.imdb.com/title/tt0083745/,7.7,2415,6540,video.movie,2,0
29947,The Journey Is the Destination,8.1,37527,5640,1938,1,0,224
104684,Virunga,8,32570,7680,1992,2,3,250
399146,Burning Cane,7.5,154987,5760,2005,35,34,1100
328107,SCAMS,7.8,205401,8760,2004,1,6,664
30993,Shadow,8,14508,7560,1938,1,5,122
3332310,Let It Fall: Los Angeles 1982-1992,,,600,2013,0,0,0
120102,Luccas Neto in: Summer Camp,7,75229,8160,1997,3,6,110
443272,Seth Meyers: Lobby Baby,7.5,146016,9000,2012,63,115,638
119485,The Lovers,7.1,18709,8040,1997,5,4,114
34167,Tune in for Love,7.8,10521,8040,1941,3,9,84
52738,Undercover Brother 2,7.5,8064,9120,1959,6,11,47
60107,Voice,8.3,18272,12300,1966,3,0,97
36910,Bucket List,7.4,3834,8220,1944,10,0,44
892255,John Leguizamo's Latin History for Morons,7.2,32227,8040,2008,3,9,70
53994,Mubarakan,6.7,700,5820,1960,0,0,11
53752,A Holiday Engagement,6.6,513,5100,1960,0,0,8
1590733,Christmas Crush,,,1800,2009,0,0,0
393109,Dear Santa,7.5,71942,6600,2005,10,14,398
842929,District 9,6.7,22245,5100,2007,5,4,101
112688,Kicking and Screaming,6.9,14368,7680,1995,1,4,77
119448,Minimalism: A Documentary About the Important Things,7.8,8256,7320,1997,14,5,65
57254,Oththa Seruppu Size 7,7,2832,5880,1963,0,0,45
22489,The Devil Next Door,8.1,1053,4800,1931,0,0,8
101540,Williams,7.3,102119,7680,1991,6,11,246
443455,"Dana Carvey: Straight White Male, 60",7.4,2401,5700,2006,0,0,28
18311,Qu?? pena tu serie,8.3,984,4440,1927,0,0,14
28842,The Ivory Game,8,994,4800,1937,0,0,13
78841,Chocolate,http://www.imdb.com/title/tt0078841/,8.1,42469,7800,video.movie,15,174
427944,Guatemala: Heart of the Mayan World,7.7,166413,5520,2005,10,18,312
128445,The Zoya Factor,7.8,103560,5580,1998,14,11,623
265666,1983,7.6,159811,6600,2001,11,29,946
1306980,A Christmas Prince: The Royal Wedding,7.8,207726,6000,2011,9,9,362
1033575,Angela's Christmas,7.4,164099,6900,2011,51,82,403
367089,Cloudy with a Chance of Meatballs,7.4,50816,4860,2005,19,27,212
340377,Death by Magic,7.8,45086,5340,2003,25,21,263
881934,El club de los insomnes,6.3,1190,6840,2006,1,1,27
1020558,Garuda in My Heart 2,6.4,51500,5820,2010,0,0,176
1034303,Happy as Lazzaro,7.2,92625,8220,2008,2,2,214
50356,Love,7.7,5547,5880,1957,4,1,80
60588,Love and Fortune,7,3814,8040,1966,0,2,47
325710,Manto,7.7,241462,9240,2003,18,39,908
56197,Rajma Chawal,7.8,35461,10680,1962,6,6,181
75784,The World Is Yours,7.4,32836,10500,1977,4,4,191
94734,Time Share,3,406,5280,1989,0,0,5
65214,When Two Worlds Collide,8.1,53674,8700,1969,5,3,278
89767,Takers,7.3,30357,6900,1985,2,1,126
64208,Hoodwinked Too! Hood vs. Evil,7.2,3496,7200,1967,0,0,59
60862,Akulah Balqis,7.4,8102,7020,1966,3,5,78
100994,Alias Grace,6.3,19593,6240,1990,2,2,64
62472,Atlantics,6.8,4878,5760,1967,1,0,33
66831,Crazy people,7.1,5861,6600,1971,0,0,59
906665,I Lost My Body,6.3,11600,7260,2007,5,4,69
62151,Kalushi: The Story of Solomon Mahlangu,6.5,1180,5280,1968,0,0,11
61576,Lagos Real Fake Life,6.3,2097,6540,1967,0,0,15
276174,Payday,6.6,119,3600,2000,0,0,4
80979,Sugar Rush Christmas,8,19187,10800,1980,20,3,84
53114,The Accidental Spy,8.4,2724,9420,1959,5,1,16
15648,The Charming Stepmom,8,32184,4500,1925,0,0,160
498380,The Island,8,112624,8460,2006,26,19,307
87553,The Movies That Made Us,7.9,35986,8460,1984,26,20,176
80310,Holiday Rush,7.9,8920,6420,1980,14,5,85
78875,Levius,7.6,14652,8520,1979,14,5,73
97441,Lugar de Mulher,8,87681,7320,1989,13,12,332
1124052,Merry Happy Whatever,7.7,6879,7920,2009,11,6,58
460989,Mythomaniac,7.6,30641,7620,2006,5,22,211
107007,The Score,7.7,19124,16260,1993,0,0,244
10040,Brotherhood of Blades II: The Infernal Battlefield,7.9,997,5100,1919,0,0,18
280491,Broken,7.7,16640,6420,2002,19,21,117
778822,Defiance,7.4,18,4140,2005,0,0,1
68768,Evvarikee Cheppoddu,6.4,9369,5280,1972,0,0,59
43137,Little Singham: Mahabali,7.8,10108,5520,1950,0,0,77
60315,The Body Remembers When the World Broke Open,7.3,14763,5520,1966,0,0,83
63501,The Irishman,7.4,2740,4800,1966,0,0,26
59740,Bumping Mics with Jeff Ross & Dave Attell,7.2,7797,7320,1965,1,0,47
50468,Minecraft: Story Mode,7.2,8155,7320,1957,2,2,72
61709,Operation Red Sea,7.2,1615,5700,1967,0,0,19
61429,Poster Boys,7.2,2153,8100,1966,0,0,24
44953,Mike Birbiglia: The New One,7.5,6200,5460,1953,1,0,78
64916,Super Monsters Save Christmas,6.9,2482,6660,1969,0,0,32
40369,True: Winter Wishes,7.7,9867,7500,1948,2,1,71
1103965,Zona Rosa,6.8,1067,11820,2008,1,8,7
2973778,Dirty John,,,1140,2013,0,0,0
47647,Pranaam,7.1,5465,5640,1954,0,0,53
61636,What the F* Is Going On?,7.4,1377,6420,1967,0,0,13
69436,Harold and Lillian: A Hollywood Love Story,7.1,2992,6180,1972,0,0,52
67140,My Little Pony Friendship Is Magic: Best Gift Ever,7.7,17791,9420,1971,1,0,102
54047,Per??: Tesoro escondido,7.8,51542,7680,1960,2,2,226
99348,Beauties of the Night,8,143286,10860,1990,34,28,351
65126,Gilmore Girls: A Year in the Life,7.4,26762,7680,1969,7,5,151
49730,Michael Che Matters,8,50448,7140,1956,1,2,408
61619,Awake,7.7,13415,7560,1966,0,0,84
40724,Popeye,7.8,17040,5520,1948,1,2,148
1137936,Shot Caller,http://www.imdb.com/title/tt1137936/,8.4,314,1800,video.episode,0,0
55499,Strong Girl Bong-soon,8.1,11125,5340,1961,2,4,56
86022,Bushwick,8.2,8649,7500,1983,3,1,45
64793,Cuba and the Cameraman,7.8,4360,6060,1969,8,0,30
44081,The Girl from the Song,8.1,64151,7320,1951,13,14,215
12938,The Many Faces of Ito,7.9,1818,4800,1922,0,0,53
51459,Trailer Park Boys: Out of the Park: USA,8.1,27420,6480,1958,3,8,134
33045,Charlotte's Web,8.1,15932,5940,1940,1,0,121
1906364,End of Watch,7,6,3600,2011,0,0,2
362227,Hamburger Hill,7.3,219483,7680,2004,3,2,573
765429,Once Upon A Time In Lingjian Mountain,7.8,264349,9420,2007,9,30,440
101507,The Time Machine,7.8,71979,6720,1991,10,9,167
307901,Fugitiva,7.7,127674,8100,2002,4,7,442
106489,Bright: The Music Videos,7.8,78459,7260,1993,1,2,176
243133,Deep,7.6,71870,6960,2001,25,33,425
701070,Brother,7.7,848,1800,1992,0,0,0
84805,Dino Girl Gauko,7.4,63675,6960,1982,30,23,162
250478,Dolly Parton's Heartstrings,7,4840,5460,2000,12,9,31
115640,Girls und Panzer der Film,7.9,14623,5400,1996,4,3,150
69704,Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,7.5,52962,6600,1973,8,6,222
1022603,Narcoworld: Dope Stories,7.8,273980,5700,2009,10,22,453
119822,Nobody's Looking,7.8,189536,8340,1997,31,30,449
1663519,Shelby American,,,1320,2002,0,0,0
86837,Singapore Social,http://www.imdb.com/title/tt0086837/,6.8,34397,6960,video.movie,1,0
69293,The Christmas Chronicles,8.1,38487,10020,1972,2,4,216
63442,Argon,8,110247,6720,1968,5,0,363
79945,Barbra: The Music ... The Mem'ries ... The Magic!,6.3,49916,7920,1979,2,15,372
49223,Godless,7.7,27324,5880,1956,1,1,263
1182345,Ludo,8,186273,5820,2009,21,20,424
60397,Mercy,6.9,10313,6000,1966,3,5,75
75860,The Land of Cards,7.7,109524,8220,1977,15,33,307
1746003,K-19: The Widowmaker,7.3,6,300,2010,0,0,0
257044,Mortel,7.8,165165,7020,2002,23,55,981
419294,The Knight Before Christmas,7.5,29806,7260,2005,4,8,193
421238,De Palma,7.5,37321,6240,2005,13,25,228
36244,Oh My Ghost,8.1,13354,4500,1943,4,0,114
71249,The Tribe,7.6,10643,6720,1974,0,0,109
102744,Beat Bugs: All Together Now,6.8,12562,7140,1990,2,1,95
381849,Brian Regan: Nunchucks and Flamethrowers,7.8,191143,7320,2007,6,19,545
1545336,Saving Capitalism,8.5,345,3600,2010,0,0,1
47136,The Case for Christ,johnny guitar gejagt geha t gef rchtet,http://www.imdb.com/title/tt0047136/,7.7,8918,1954,video.movie,9
51327,Carlos Ballarta: El amor es de putos,8.2,694,1800,1961,0,0,12
109959,Adore,5.1,2280,5640,1993,0,0,24
64276,Bangkok Buddies,7.4,61351,5700,1969,10,10,346
2547622,Be Somebody,6.8,21,6360,2013,0,0,2
106519,Beavis and Butt-head Do America,7.9,132330,8640,1993,1,2,263
119008,Bebe's Kids,7.8,178966,7620,1997,5,9,219
100150,"Bikram: Yogi, Guru, Predator",7.9,85503,6900,1990,5,2,279
139654,Black Snake Moan,7.7,232355,7320,2001,16,15,604
119396,Carriers,7.5,185138,9240,1997,7,12,422
840361,Dorasaani,7.6,222924,7500,2010,9,24,391
97514,Dream/Killer,7.4,552,3060,1988,0,0,4
1170393,Evolution,7.6,988,6600,2008,0,0,1
90967,Eye for an Eye,7.9,28011,6420,1986,4,5,82
85794,Holiday Secrets,7.8,38288,6540,1982,2,5,199
418455,Hot Rod,7.9,25367,5640,2005,19,13,48
41546,It Takes Two,8.2,21614,6360,1949,4,1,114
97940,"Lorena, Light-Footed Woman",7.5,14302,6600,1989,1,8,52
307987,"Love, Rosie",7.2,88920,5460,2003,1,8,464
110955,Mallesham,7,15840,5580,1994,1,1,110
91983,Once Upon a Time in the West,6.8,9633,6840,1986,4,1,62
39631,She's Out of My League,8,8976,6600,1947,5,0,69
283003,Superstar,6.8,28443,6060,2002,0,0,197
70510,The Adventures of Tintin,8.2,18348,6120,1973,7,9,107
325805,The Devil Inside,7.3,89122,6960,2003,0,0,325
87040,The First Wives Club,7.1,355,300,1984,2,0,4
765443,The Gift,7.7,159004,6000,2007,27,43,375
59113,"The Goods: Live Hard, Sell Hard",8,46656,11820,1965,18,10,242
327056,The Longest Yard,8,274771,8280,2003,61,68,902
45793,The Love Guru,7.8,27276,7080,1953,14,7,135
33238,The Rainmaker,7.8,5580,6480,1940,0,0,77
159365,What's Eating Gilbert Grape,7.2,99891,9240,2003,17,63,657
1390600,Who Killed Little Gregory?,9.1,779,2580,2009,0,0,1
114694,World Trade Center,7,51739,5820,1995,1,2,190
356150,Young Adult,6.6,129893,5580,2004,0,0,306
90555,"Yours, Mine and Ours",6.5,61829,5820,1986,3,7,82
1622547,Zodiac,6.2,64192,4980,2011,0,0,110
250687,Kulipari: Dream Walker,6.4,81149,6720,2001,0,0,493
366551,Paap-O-Meter,7.2,128821,5280,2004,0,0,312
98627,Puppy Star Christmas,6.3,31087,5820,1989,0,0,87
117119,Sabrina,6.4,10950,6060,1996,0,0,67
1167660,Target,6.9,7098,6060,2009,0,0,21
35093,The Final Table,7.7,8904,8040,1942,3,6,73
215129,Trevor Noah: Son of Patricia,6.5,107561,5580,2000,2,9,297
1045778,100 Things to do Before High School,4.9,64559,5820,2009,0,0,197
62782,A Fairly Odd Summer,6.9,2785,5280,1968,0,0,34
12190,Bella and the Bulldogs,8,2241,9000,1921,1,0,37
655429,Big Time Movie,7.7,80,5820,1990,0,0,0
49934,Don't Be Afraid of the Dark,6.8,5442,12480,1956,6,8,42
50634,Escape from Mr. Lemoncelloü??s Library,8.1,7771,5820,1957,4,0,55
52893,Hey Arnold! The Jungle Movie,http://www.imdb.com/title/tt0052893/,7.9,14310,5400,video.movie,5,58
52600,Jinxed,7.9,5742,5280,1959,5,3,44
76085,LEGENDS OF THE HIDDEN TEMPLE,8,4847,6600,1977,11,2,28
36112,"Liar, Liar, Vampire",8.1,8179,9780,1943,3,0,76
116209,Shark Night,7.4,110855,9720,1996,47,39,439
46816,The Boy Who Cried Werewolf,8,17021,7440,1954,2,3,142
86617,The Massively Mixed-Up Middle School Mystery,7.2,12904,6900,1982,7,15,82
142764,Ana e Vit??ria,6.8,9,,1997,0,0,0
603387,Brainchild,,,1800,1996,0,0,0
77766,ReMastered: Tricky Dick & The Man in Black,5.7,39506,6960,1978,0,0,235
100157,The Holiday Calendar,7.8,103810,6420,1990,3,6,285
258000,The Judgement,6.8,161649,6720,2002,1,7,827
1219289,The Other Side of the Wind,7.4,289299,6300,2011,1,6,343
1457767,Theyü??ll Love Me When Iü??m Dead,7.6,165388,6720,2013,4,8,657
2053463,Thorne: Scaredy Cat,7.1,105194,6360,2013,0,0,238
1615147,Thorne: Sleepyhead,7.1,68616,6420,2011,8,14,192
1614989,Iliza Shlesinger: Unveiled,7.6,57127,6000,2011,5,7,97
1340800,Miss Culinary, Spion (2011),dame k nig as spion,http://www.imdb.com/title/tt1340800/,7.1,7620,2011,51
1524137,No Time for Shame,6.5,82124,6540,2012,0,0,146
1568338,Donald Glover: Weirdo,6.6,99177,6120,2012,0,0,143
421239,The Pixar Story,6.5,81260,5100,2005,2,8,662
108377,The Prison,7.1,456,480,1993,0,0,8
95953,Colin Quinn: The New York Story,8,308453,7980,1988,21,19,287
105323,Divines,7.9,151964,9420,1992,6,9,287
99077,La Ni?§a,7.7,70252,7260,1990,6,7,157
79417,Sour Grapes,7.8,74105,6300,1979,38,17,157
107818,Naomi and Ely's No Kiss List,7.7,143684,7500,1993,11,14,236
1821549,Splatter,7.9,38035,6900,2013,26,61,169
1535109,Candy Online,8,176065,8040,2013,16,68,411
1210166,Eternal Love,7.6,221172,7980,2011,20,42,289
3184076,La Do?§a,,,1500,2013,0,0,0
84855,Silvana Sin Lana,7.8,20430,7740,1982,4,7,138
118749,A Christmas Prince,7.9,148566,9300,1997,28,22,530
104348,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",7.9,59740,6000,1992,5,5,352
64665,Krish Trish and Baltiboy: Face Your Fears,8,61871,6780,1969,26,12,305
1124035,Mudbound,7.2,154409,6060,2011,9,21,268
125092,Santa Claws,,,,1989,0,0,0
479143,Shot in the Dark,7.2,123125,6120,2006,0,0,940
79817,Paranoid,7.1,90550,7140,1979,2,1,141
92272,Drive,6,8209,6600,1986,1,0,43
90270,Iron Sky: The Coming Race,6.4,5326,6420,1985,0,0,66
417433,Jeff Dunham: All Over the Map,5.7,15495,6480,2006,0,0,139
338216,Suffragette,5.9,16096,7440,2007,0,0,61
300532,The Green Inferno,5.6,22233,6240,2002,1,6,214
116695,Cam,7.3,146889,8340,1996,26,19,296
85154,Dogs,5.9,9967,5460,1983,0,0,48
964517,Follow Me,7.9,200800,6960,2010,42,55,366
566101,Narcos: Mexico,7.1,70,1320,2004,0,0,0
67800,Nothing to Hide,7.6,37945,7080,1971,1,0,247
1568346,The Ballad of Buster Scruggs,7.9,245900,9480,2011,14,33,597
250258,The Princess Switch,7.8,63018,7200,2001,13,15,167
1242460,Vai Anitta,7.5,65660,6720,2011,20,31,258
1063669,9,7.6,56181,6420,2008,5,7,85
144084,At the Dolphin Bay,7.6,262553,6120,2000,4,7,1007
69947,Earthquake Bird,7.8,24386,8580,1973,1,10,176
396171,El sendero de la anaconda,7.5,149899,8820,2006,12,13,455
365737,GO! The Unforgettable Party,7,92002,7680,2005,9,21,619
465551,Guna 369,7.5,55692,5520,2006,15,38,268
1734067,House Arrest,5.1,2984,4500,2010,0,0,27
375063,I'm with the Band: Nasty Cherry,7.6,125398,7560,2004,108,39,811
272338,Inheritors,7.3,85032,5700,2002,15,18,853
1387564,K-on! the movie,,,3240,2008,0,0,0
120915,Klaus,6.5,379493,8160,1999,12,52,3443
121766,La Robe De Mariee Des Cieux,7.7,363226,8400,2005,14,29,3187
121765,Leap Year,6.8,323204,8520,2002,11,41,3412
111282,My MVP Valentine,7,123007,7260,1994,6,5,232
770828,My Sassy Girl,7.4,359724,8580,2013,4,16,2238
1300854,SunGanges,7.4,349551,7800,2013,12,35,1107
401729,The 24 Hour War,6.6,166665,7920,2012,1,4,677
120667,The Club,5.7,200826,6360,2005,0,0,992
145487,The Garden of Words,7.3,388552,7260,2002,12,44,1985
348150,The Stranded,6.2,205769,9240,2006,10,22,2348
486576,Westside Story,5.6,161460,5520,2007,2,13,426
1593577,Aalorukkam,7.2,187,2700,2010,0,0,1
170691,Beyblade Burst Evolution,7.1,29876,6060,2000,3,3,150
64040,Christmas Wedding Planner,8.1,11564,8700,1969,3,0,73
86969,Halkaa,7.3,14730,7200,1984,3,1,59
108211,Mala Kahich Problem Nahi,7.5,19666,8040,1993,3,1,138
38890,May the Devil Take You,http://www.imdb.com/title/tt0038890/,8.1,12548,6180,video.movie,6,61
101829,Muzaffarnagar Baaqi Hai,7.7,13072,6720,1991,16,4,57
56111,Odu Raja Odu,8.1,12900,5700,1962,2,0,41
94860,Only the Dead,6.2,3296,6120,1989,0,0,64
93209,Pimpal,7.4,8343,6780,1987,18,19,65
67277,Savita Damodar Paranjpe,7.9,9421,6660,1971,3,2,76
59274,Shopkins: Chef Club,7.9,7603,7380,1965,3,6,78
39192,Shopkins: Wild,8,12785,6000,1947,3,0,122
772178,Shopkins: World Vacation,4.6,5728,6480,2007,0,0,34
87175,The Crew,6.3,8817,5940,1984,1,2,56
24115,The Giant,7.8,1403,4560,1933,0,0,29
289043,A Flying Jatt,7.7,231106,6780,2002,10,25,1414
120804,Chuck Chicken,6.7,159910,6000,2002,0,0,1124
49366,Lucky: No Time for Love,7.8,26864,4800,1956,1,0,189
120907,The Irregular at Magic High School,6.8,63821,5820,1999,3,7,505
884328,The Method,7.2,170012,7560,2007,2,5,1005
24184,Brown Nation,7.7,15927,4260,1933,3,0,141
46876,Dieter Nuhr: Nuhr in Berlin,7,12987,4740,1954,1,0,156
87262,Mumbai Cha Raja,6,18696,6060,1984,0,0,84
448134,Oliver Stone's Untold History of the United States,7.3,146791,6420,2007,1,10,742
93773,Clarence Clemons: Who Do I Think I Am?,7.9,223333,6420,1987,3,4,572
352814,Fadily Camara : La plus dr??le de tes copines,5.3,240,7140,2006,0,0,1
92593,My Dear Warrior,http://www.imdb.com/title/tt0092593/,8.1,19044,6240,video.movie,26,45
62185,DeRay Davis: How to Act Black,6.9,3491,6480,1967,1,0,61
86465,Hickok,7.5,79297,6960,1983,3,4,139
109445,Chelsea Peretti: One of the Greats,7.9,153057,5520,1994,4,6,604
1226774,Casa de mi Padre,7.5,35293,6360,2009,16,20,124
829482,Maradona in Mexico,7.7,327058,6780,2007,7,14,540
85959,BuyBust,7.6,60984,6420,1983,1,1,185
1544843,Loudon Wainwright III: Surviving Twin,8.9,397,1200,2009,0,0,0
112682,Warrior,7.7,46812,6720,1995,2,10,230
88846,Chasing Trane,8,125037,7920,1985,10,1,490
460791,John Mulaney: The Comeback Kid,7.9,70480,7020,2006,3,4,272
91064,W/ Bob & David,7.5,89158,5760,1986,7,9,254
83866,Jeff Garlin: Our Man In Chicago,7.9,218383,6900,1982,47,28,468
1135092,Green Room,6.2,12156,6960,2009,0,0,107
93389,Long Time Running,7.8,53698,9780,1987,44,13,119
986233,A Single Man,7.6,36844,5760,2008,36,22,121
1285016,Put Your Head on My Shoulder,7.8,334871,7200,2010,102,86,650
120514,Submission,6.9,10648,7080,1997,3,7,96
58715,To Be of Service,7.9,5956,8220,1964,8,4,57
73114,Bon Cop Bad Cop 2,7.4,4331,5760,1975,11,4,29
57877,The Beginning of Life: The Series,8.1,9251,8880,1964,14,22,87
422720,True Memoirs of an International Assassin,6.4,63248,7380,2006,8,9,600
309820,Age of Tanks,6.7,11118,7380,2003,4,1,103
83789,Helix,7.5,3430,8160,1983,6,5,26
595951,The Workshop,http://www.imdb.com/title/tt0595951/,6.4,125,1380,video.episode,0,0
1318514,Bill Burr: Let It Go,7.6,272843,6300,2011,12,24,594
234215,Blazing Transfer Students,7.2,333743,8280,2003,5,20,2771
89530,Mea Culpa,6.2,67224,6420,1985,1,5,145
462465,Natalia Valdebenito: Gritona,6.3,54302,6900,2008,0,0,150
1408101,The Killer,7.9,270323,7920,2013,6,27,1054
242653,Einsatzgruppen: The Nazi Death Squads,6.7,288612,7740,2003,1,18,2117
268695,Kathleen Madigan: Bothering Jesus,5.9,88017,5760,2002,1,0,605
1228705,100% Hotter,7.1,336029,7440,2010,3,24,684
87182,16 Blocks,6.6,80846,8220,1984,1,4,536
92011,187,7.2,282,3600,1985,0,3,5
219372,A Remarkable Tale,4.6,175,3780,1999,0,0,1
352248,A Year In Space,8,122726,8640,2005,14,26,508
174856,Ad Vitam,7.5,61075,8760,1999,7,15,252
248667,American History X,6.7,64588,9420,2001,9,24,374
412080,American Son,7.9,37508,7620,2005,10,5,244
878804,Anger Management,7.7,154322,7740,2009,7,22,373
108002,Apache Warrior,7.5,33458,6840,1993,2,1,146
445990,Barbie Dreamhouse Adventures: Go Team Roberts,7.1,38213,6300,2006,0,0,137
